MaintenanceID,MaintenanceDate,MaintenanceType,Cost,Notes,VehicleId
907,4/13/2025,Engine,6.99,Routine service,387
908,6/7/2025,Engine,8.99,Repair done,388
909,4/21/2025,Tires,25.99,General check,389
910,1/25/2026,Oil Change,22.99,General check,390
911,1/27/2026,Engine,2.29,Routine service,391
912,5/14/2025,Tires,39.99,"",392
913,12/5/2025,Engine,5.49,Scheduled maintenance,393
914,10/10/2025,Engine,4.99,"",394
915,8/30/2025,Inspection,39.99,Scheduled maintenance,395
916,2/1/2026,Inspection,6.99,Routine service,396
917,9/6/2025,Tires,3.99,"",397
918,2/24/2026,Inspection,44.99,General check,398
919,12/23/2025,Oil Change,39.99,Routine service,399
920,8/31/2025,Brakes,14.99,"",400
