FuelLogID,FuelLogDate,FuelAmount,FuelCost,FuelStation,VehicleID,DriverID
662,2024-06-21,62.34,508.38,Dor Alon,146,241
663,2024-06-22,41.52,339.62,Ten,427,352
664,2024-06-23,51.51,425.60,Delek,428,280
665,2024-06-24,65.52,501.77,Delek,203,302
666,2024-06-25,69.68,470.99,Sonol,307,262
667,2024-06-26,36.44,247.25,Sonol,328,320
668,2024-06-27,47.38,327.80,Sonol,449,130
669,2024-06-28,28.42,223.55,Delek,113,47
670,2024-06-29,51.32,336.30,Ten,193,3
671,2024-06-30,41.18,271.59,Delek,345,265
672,2024-07-01,54.62,358.34,Dor Alon,514,353
673,2024-07-02,68.27,462.50,Delek,204,278
674,2024-07-03,63.25,525.86,Delek,497,407
675,2024-07-04,26.57,194.42,Paz,2,138
676,2024-07-05,60.51,460.53,Ten,455,169
677,2024-07-06,44.41,316.62,Delek,304,470
678,2024-07-07,43.33,340.79,Dor Alon,351,88
679,2024-07-08,27.68,192.02,Delek,206,358
680,2024-07-09,22.81,191.00,Delek,260,384
681,2024-07-10,24.54,188.88,Paz,492,323
682,2024-07-11,20.80,157.85,Sonol,483,362
683,2024-07-12,43.80,335.24,Delek,274,371
684,2024-07-13,48.86,362.67,Dor Alon,432,369
685,2024-07-14,34.55,244.27,Sonol,117,177
686,2024-07-15,54.27,384.67,Paz,72,472
687,2024-07-16,58.69,424.09,Paz,298,189
688,2024-07-17,28.17,196.00,Delek,46,453
689,2024-07-18,34.32,275.14,Dor Alon,194,60
690,2024-07-19,56.10,454.18,Dor Alon,224,406
691,2024-07-20,21.90,148.83,Dor Alon,172,488
692,2024-07-21,31.53,261.24,Delek,71,440
693,2024-07-22,27.97,236.44,Ten,384,237
694,2024-07-23,58.32,380.79,Paz,434,450
695,2024-07-24,55.79,457.88,Ten,316,268
696,2024-07-25,27.27,225.66,Ten,495,243
697,2024-07-26,29.98,219.28,Dor Alon,380,171
698,2024-07-27,46.54,327.97,Dor Alon,20,429
699,2024-07-28,67.67,522.91,Dor Alon,73,418
700,2024-07-29,38.79,313.89,Delek,7,454
701,2024-07-30,27.54,209.81,Ten,258,19
702,2024-07-31,42.82,308.85,Delek,261,228
703,2024-08-01,35.29,273.05,Paz,71,508
704,2024-08-02,49.32,416.27,Sonol,501,130
705,2024-08-03,59.99,467.81,Paz,268,63
706,2024-08-04,52.84,400.26,Paz,178,364
707,2024-08-05,65.24,511.31,Dor Alon,151,117
708,2024-08-06,65.02,488.12,Dor Alon,375,45
709,2024-08-07,35.64,237.49,Delek,515,412
710,2024-08-08,34.55,241.49,Paz,7,456
711,2024-08-09,67.04,456.11,Paz,464,372
712,2024-08-10,51.00,418.60,Delek,429,422
713,2024-08-11,44.09,350.01,Ten,504,428
714,2024-08-12,31.32,252.19,Ten,130,3
715,2024-08-13,34.99,235.59,Ten,509,397
716,2024-08-14,39.79,284.71,Delek,472,112
717,2024-08-15,35.09,260.38,Delek,490,478
718,2024-08-16,25.87,201.83,Paz,278,78
719,2024-08-17,38.17,248.16,Ten,9,39
720,2024-08-18,36.98,264.07,Sonol,374,468
721,2024-08-19,54.69,391.73,Delek,293,55
722,2024-08-20,46.84,376.26,Sonol,239,154
723,2024-08-21,42.18,280.00,Dor Alon,77,236
724,2024-08-22,35.42,278.47,Delek,367,380
725,2024-08-23,56.05,443.94,Delek,316,171
726,2024-08-24,30.47,229.01,Delek,274,480
727,2024-08-25,36.93,264.23,Ten,170,412
728,2024-08-26,43.61,366.10,Sonol,102,472
729,2024-08-27,25.10,193.25,Paz,191,354
730,2024-08-28,45.36,321.72,Paz,202,375
731,2024-08-29,68.44,536.31,Sonol,277,1
732,2024-08-30,29.83,225.86,Dor Alon,161,278
733,2024-08-31,67.86,573.48,Paz,320,277
734,2024-09-01,63.72,459.41,Ten,468,164
735,2024-09-02,67.84,548.67,Sonol,349,320
736,2024-09-03,27.40,208.19,Sonol,302,363
737,2024-09-04,61.42,470.19,Delek,290,337
738,2024-09-05,60.39,450.88,Delek,469,131
739,2024-09-06,22.58,152.52,Sonol,447,303
740,2024-09-07,31.65,246.86,Delek,183,154
741,2024-09-08,43.46,363.57,Delek,390,280
742,2024-09-09,65.90,527.89,Paz,206,224
743,2024-09-10,31.66,259.20,Paz,371,364
744,2024-09-11,35.94,304.35,Delek,361,380
745,2024-09-12,46.42,365.66,Ten,425,195
746,2024-09-13,62.50,505.89,Dor Alon,282,450
747,2024-09-14,32.53,226.17,Ten,32,326
748,2024-09-15,33.63,245.22,Paz,73,242
749,2024-09-16,37.28,274.42,Ten,496,264
750,2024-09-17,39.30,330.00,Ten,433,160
751,2024-09-18,59.23,451.68,Delek,209,420
752,2024-09-19,51.20,410.90,Delek,155,152
753,2024-09-20,27.74,186.19,Delek,356,516
754,2024-09-21,38.09,272.21,Sonol,214,336
755,2024-09-22,69.86,574.18,Sonol,497,302
756,2024-09-23,31.41,254.36,Ten,225,8
757,2024-09-24,29.73,217.31,Sonol,319,374
758,2024-09-25,49.29,418.72,Ten,214,320
759,2024-09-26,66.41,487.08,Ten,513,489
760,2024-09-27,34.55,258.17,Ten,290,386
761,2024-09-28,38.20,286.60,Delek,442,254
762,2024-09-29,45.99,341.51,Ten,9,181
763,2024-09-30,23.02,162.49,Paz,235,101
764,2024-10-01,51.36,376.30,Sonol,224,452
765,2024-10-02,48.25,355.23,Dor Alon,271,435
766,2024-10-03,59.84,398.87,Ten,213,166
767,2024-10-04,52.97,446.67,Delek,81,261
768,2024-10-05,34.72,275.39,Dor Alon,378,376
769,2024-10-06,26.86,178.26,Ten,347,24
770,2024-10-07,42.80,292.88,Delek,483,222
771,2024-10-08,50.04,334.09,Paz,2,145
772,2024-10-09,31.04,224.18,Paz,182,442
773,2024-10-10,25.03,179.47,Dor Alon,351,35
774,2024-10-11,58.06,467.39,Sonol,459,492
775,2024-10-12,49.28,405.30,Delek,278,286
776,2024-10-13,20.31,146.96,Delek,2,279
777,2024-10-14,57.88,418.38,Dor Alon,270,58
778,2024-10-15,50.57,420.26,Ten,146,193
779,2024-10-16,35.62,235.33,Sonol,437,164
780,2024-10-17,60.00,435.49,Dor Alon,378,499
781,2024-10-18,23.33,167.54,Paz,405,58
782,2024-10-19,49.04,413.23,Dor Alon,59,369
783,2024-10-20,31.34,262.08,Ten,140,75
784,2024-10-21,65.48,519.96,Ten,468,210
785,2024-10-22,66.42,540.71,Delek,144,375
786,2024-10-23,43.58,307.53,Sonol,83,234
787,2024-10-24,62.89,449.72,Delek,448,380
788,2024-10-25,33.32,265.06,Sonol,114,138
789,2024-10-26,38.44,281.49,Dor Alon,25,469
790,2024-10-27,69.47,483.21,Delek,65,194
791,2024-10-28,43.84,357.03,Delek,408,493
792,2024-10-29,53.39,361.68,Sonol,143,493
793,2024-10-30,55.41,406.63,Dor Alon,473,370
794,2024-10-31,54.04,414.43,Paz,44,23
795,2024-11-01,20.10,151.55,Dor Alon,30,323
796,2024-11-02,68.74,571.47,Paz,473,348
797,2024-11-03,53.00,449.41,Ten,219,124
798,2024-11-04,45.23,322.95,Ten,270,250
799,2024-11-05,47.59,337.82,Ten,162,48
800,2024-11-06,51.62,415.41,Dor Alon,102,300
801,2024-11-07,42.03,344.34,Ten,168,91
802,2024-11-08,41.43,288.24,Dor Alon,247,341
803,2024-11-09,41.95,346.39,Delek,309,387
804,2024-11-10,60.81,458.19,Ten,328,499
805,2024-11-11,47.95,371.19,Ten,9,495
806,2024-11-12,25.42,198.02,Paz,218,196
807,2024-11-13,43.46,289.77,Ten,444,368
808,2024-11-14,52.34,421.17,Delek,282,18
809,2024-11-15,41.15,289.04,Delek,486,288
810,2024-11-16,53.45,412.24,Delek,320,293
811,2024-11-17,41.17,291.56,Paz,394,68
812,2024-11-18,33.45,234.50,Paz,119,439
813,2024-11-19,39.54,326.58,Delek,304,296
814,2024-11-20,43.69,369.33,Ten,507,374
815,2024-11-21,35.48,269.11,Delek,72,503
816,2024-11-22,21.90,147.29,Ten,353,22
817,2024-11-23,65.79,552.01,Sonol,171,418
818,2024-11-24,30.94,226.34,Dor Alon,98,93
819,2024-11-25,66.44,496.15,Sonol,503,223
820,2024-11-26,58.64,437.39,Ten,456,11
821,2024-11-27,60.13,458.87,Ten,180,359
822,2024-11-28,33.98,226.93,Delek,354,436
823,2024-11-29,62.61,428.15,Dor Alon,279,306
824,2024-11-30,54.88,383.15,Delek,298,295
825,2024-12-01,36.61,275.42,Paz,291,38
826,2024-12-02,67.64,495.60,Paz,259,423
827,2024-12-03,61.81,429.02,Sonol,452,488
828,2024-12-04,38.65,318.46,Ten,31,382
829,2024-12-05,64.49,437.68,Dor Alon,69,459
830,2024-12-06,60.24,469.89,Dor Alon,303,283
831,2024-12-07,67.39,464.20,Ten,250,501
832,2024-12-08,34.69,289.15,Dor Alon,414,157
833,2024-12-09,68.30,459.00,Ten,192,473
834,2024-12-10,36.67,261.13,Delek,12,341
835,2024-12-11,25.67,204.98,Ten,238,137
836,2024-12-12,48.24,349.99,Paz,68,151
837,2024-12-13,33.02,247.64,Ten,228,307
838,2024-12-14,69.58,589.15,Ten,179,391
839,2024-12-15,35.06,282.51,Sonol,266,292
840,2024-12-16,44.86,337.49,Sonol,61,229
841,2024-12-17,68.89,582.39,Delek,184,444
842,2024-12-18,65.71,436.78,Sonol,368,40
843,2024-12-19,50.96,374.07,Ten,251,68
844,2024-12-20,45.81,302.53,Dor Alon,400,408
845,2024-12-21,48.91,339.33,Paz,363,422
846,2024-12-22,23.75,154.95,Delek,283,182
847,2024-12-23,60.64,422.61,Sonol,94,24
848,2024-12-24,38.64,293.63,Delek,3,354
849,2024-12-25,35.86,262.61,Sonol,87,154
850,2024-12-26,20.81,176.08,Ten,284,414
851,2024-12-27,23.88,187.39,Paz,368,492
852,2024-12-28,27.85,225.85,Dor Alon,480,310
853,2024-12-29,36.01,256.25,Delek,405,365
854,2024-12-30,29.30,209.52,Sonol,469,8
855,2024-12-31,48.86,351.91,Delek,433,238
856,2025-01-01,67.53,478.12,Dor Alon,30,442
857,2025-01-02,68.03,451.57,Sonol,311,428
858,2025-01-03,67.54,439.73,Dor Alon,94,453
859,2025-01-04,56.42,384.30,Delek,34,132
860,2025-01-05,27.42,201.99,Sonol,148,231
861,2025-01-06,27.77,221.05,Delek,117,373
862,2025-01-07,35.86,253.01,Ten,454,170
863,2025-01-08,22.15,163.04,Dor Alon,123,127
864,2025-01-09,42.48,321.46,Delek,437,66
865,2025-01-10,29.51,205.64,Sonol,10,235
866,2025-01-11,41.86,348.89,Sonol,224,107
867,2025-01-12,69.75,557.89,Dor Alon,130,72
868,2025-01-13,58.79,399.47,Delek,67,36
869,2025-01-14,51.49,391.77,Delek,398,366
870,2025-01-15,63.24,445.52,Paz,277,125
871,2025-01-16,55.04,401.28,Sonol,374,504
872,2025-01-17,61.78,502.77,Ten,142,25
873,2025-01-18,50.57,370.19,Delek,49,217
874,2025-01-19,25.47,188.77,Sonol,174,519
875,2025-01-20,27.59,182.90,Delek,148,232
876,2025-01-21,41.57,323.27,Delek,213,386
877,2025-01-22,21.67,171.93,Ten,495,250
878,2025-01-23,22.17,162.57,Ten,279,404
879,2025-01-24,44.35,359.13,Sonol,215,273
880,2025-01-25,37.35,286.59,Delek,316,355
881,2025-01-26,55.99,426.82,Paz,134,267
882,2025-01-27,28.17,205.38,Ten,159,36
883,2025-01-28,46.71,336.35,Dor Alon,182,337
884,2025-01-29,46.92,336.80,Sonol,160,82
885,2025-01-30,32.65,237.67,Dor Alon,423,168
886,2024-02-01,61.57,477.58,Dor Alon,460,443
887,2024-02-02,36.34,237.15,Ten,253,186
888,2024-02-03,65.96,501.67,Ten,260,196
889,2024-02-04,37.39,303.27,Dor Alon,224,154
890,2024-02-05,41.07,311.00,Dor Alon,98,143
891,2024-02-06,52.77,434.86,Sonol,454,224
892,2024-02-07,35.16,281.83,Delek,287,458
893,2024-02-08,21.96,183.24,Dor Alon,259,137
894,2024-02-09,51.65,382.64,Paz,287,287
895,2024-02-10,48.18,391.44,Dor Alon,31,10
896,2024-02-11,26.43,217.65,Paz,459,336
897,2024-02-12,46.85,341.10,Paz,483,117
898,2024-02-13,22.10,170.68,Sonol,144,137
899,2024-02-14,62.37,500.25,Dor Alon,175,305
900,2024-02-15,32.74,255.78,Sonol,378,481
901,2024-02-16,31.69,222.18,Sonol,204,405
902,2024-02-17,54.55,371.87,Paz,329,239
903,2024-02-18,47.39,381.98,Paz,354,134
904,2024-02-19,51.95,377.49,Delek,198,417
905,2024-02-20,50.75,387.32,Ten,130,508
906,2024-02-21,42.22,331.72,Delek,345,263
907,2024-02-22,43.50,353.84,Delek,304,77
908,2024-02-23,23.79,198.12,Paz,244,209
909,2024-02-24,43.39,324.62,Paz,504,452
910,2024-02-25,47.50,339.47,Ten,140,396
911,2024-02-26,55.33,455.31,Sonol,404,228
912,2024-02-27,34.22,260.22,Dor Alon,375,263
913,2024-02-28,52.52,417.10,Dor Alon,472,29
914,2024-02-29,21.97,173.14,Ten,365,338
915,2024-03-01,43.36,340.32,Dor Alon,481,307
916,2024-03-02,51.32,364.68,Dor Alon,420,503
917,2024-03-03,53.27,359.25,Delek,197,487
918,2024-03-04,56.58,452.54,Ten,271,48
919,2024-03-05,68.48,473.86,Dor Alon,37,504
920,2024-03-06,63.61,481.32,Sonol,250,283
921,2024-03-07,57.01,479.82,Dor Alon,478,37
922,2024-03-08,31.20,219.87,Sonol,343,67
923,2024-03-09,25.24,170.70,Sonol,218,68
924,2024-03-10,68.49,555.38,Sonol,516,480
925,2024-03-11,50.49,349.04,Sonol,200,494
926,2024-03-12,62.31,461.12,Ten,296,485
927,2024-03-13,40.09,283.01,Delek,434,453
928,2024-03-14,33.01,261.39,Sonol,339,281
929,2024-03-15,32.49,244.54,Delek,140,248
930,2024-03-16,21.55,152.74,Delek,330,143
931,2024-03-17,21.13,151.82,Sonol,157,270
932,2024-03-18,20.30,132.02,Dor Alon,112,495
933,2024-03-19,52.39,342.71,Ten,82,458
934,2024-03-20,49.16,390.75,Sonol,280,111
935,2024-03-21,39.52,320.59,Delek,315,196
936,2024-03-22,36.60,242.82,Dor Alon,22,403
937,2024-03-23,65.74,480.10,Delek,332,130
938,2024-03-24,54.91,371.43,Sonol,502,427
939,2024-03-25,20.06,155.59,Delek,206,378
940,2024-03-26,42.06,275.08,Paz,40,482
941,2024-03-27,62.73,515.42,Delek,498,23
942,2024-03-28,62.00,458.72,Delek,310,452
943,2024-03-29,40.13,309.48,Sonol,349,4
944,2024-03-30,27.75,185.30,Delek,422,358
945,2024-03-31,64.43,448.66,Paz,469,217
946,2024-04-01,55.92,372.77,Paz,230,279
947,2024-04-02,64.89,431.48,Paz,483,478
948,2024-04-03,54.45,461.66,Ten,75,441
949,2024-04-04,68.10,474.97,Sonol,94,129
950,2024-04-05,56.80,369.99,Delek,80,302
951,2024-04-06,66.15,448.59,Dor Alon,142,56
952,2024-04-07,49.82,367.25,Paz,11,294
953,2024-04-08,41.54,318.83,Delek,330,158
954,2024-04-09,53.24,367.15,Delek,204,23
955,2024-04-10,53.19,396.28,Ten,362,336
956,2024-04-11,50.90,416.29,Delek,162,30
957,2024-04-12,36.66,263.65,Ten,461,446
958,2024-04-13,68.07,526.13,Sonol,345,446
959,2024-04-14,68.96,536.64,Paz,393,74
960,2024-04-15,64.51,454.55,Ten,484,27
961,2024-04-16,40.70,291.11,Sonol,414,136
962,2024-04-17,25.78,169.31,Ten,255,354
963,2024-04-18,34.14,247.22,Paz,275,387
964,2024-04-19,55.88,469.74,Dor Alon,448,484
965,2024-04-20,62.26,522.89,Sonol,232,404
966,2024-04-21,46.65,309.53,Ten,138,388
967,2024-04-22,46.39,318.07,Paz,157,205
968,2024-04-23,30.34,199.40,Sonol,228,181
969,2024-04-24,65.52,446.41,Dor Alon,315,402
970,2024-04-25,21.65,153.00,Ten,55,99
971,2024-04-26,49.58,333.22,Paz,496,40
972,2024-04-27,30.49,210.93,Delek,156,148
973,2024-04-28,49.86,381.29,Delek,433,221
974,2024-04-29,54.54,422.09,Dor Alon,178,126
975,2024-04-30,40.69,345.05,Delek,199,113
976,2024-05-01,20.25,150.23,Paz,21,231
977,2024-05-02,46.16,323.45,Dor Alon,356,399
978,2024-05-03,23.68,198.80,Ten,54,132
979,2024-05-04,43.25,320.73,Paz,1,138
980,2024-05-05,44.45,310.26,Delek,212,482
981,2024-05-06,23.60,163.89,Dor Alon,154,249
982,2024-05-07,58.19,468.78,Delek,119,248
983,2024-05-08,22.54,149.50,Sonol,31,343
984,2024-05-09,24.12,194.87,Delek,159,206
985,2024-05-10,29.83,244.43,Ten,208,147
986,2024-05-11,63.31,510.29,Sonol,311,151
987,2024-05-12,46.85,381.91,Sonol,406,151
988,2024-05-13,34.81,250.87,Ten,301,468
989,2024-05-14,42.36,291.90,Delek,235,374
990,2024-05-15,31.95,249.13,Paz,331,138
991,2024-05-16,62.16,523.93,Dor Alon,252,17
992,2024-05-17,41.31,286.67,Ten,357,157
993,2024-05-18,46.28,315.54,Ten,227,294
994,2024-05-19,69.98,593.64,Delek,319,255
995,2024-05-20,25.26,212.76,Delek,287,214
996,2024-05-21,30.58,259.69,Paz,224,217
997,2024-05-22,62.58,508.81,Ten,384,409
998,2024-05-23,39.62,304.35,Sonol,359,77
999,2024-05-24,68.37,547.84,Delek,6,303
1000,2024-05-25,69.05,553.54,Delek,391,109
1001,2024-05-26,50.79,385.01,Delek,239,478
1002,2024-05-27,58.73,476.09,Sonol,173,394
1003,2024-05-28,56.52,428.34,Delek,414,376
1004,2024-05-29,31.15,212.29,Delek,343,369
1005,2024-05-30,25.71,180.99,Delek,135,48
1006,2024-05-31,56.53,370.71,Dor Alon,366,415
1007,2024-06-01,60.21,426.24,Sonol,462,267
1008,2024-06-02,49.73,365.74,Ten,13,309
1009,2024-06-03,45.77,306.98,Paz,176,423
1010,2024-06-04,27.57,225.71,Dor Alon,82,507
1011,2024-06-05,26.27,178.69,Ten,446,228
1012,2024-06-06,47.50,348.30,Ten,238,131
1013,2024-06-07,60.82,407.49,Sonol,192,457
1014,2024-06-08,58.60,439.42,Delek,335,156
1015,2024-06-09,59.56,451.64,Sonol,442,397
1016,2024-06-10,28.27,235.44,Paz,316,282
1017,2024-06-11,23.60,173.32,Dor Alon,55,368
1018,2024-06-12,28.85,219.92,Ten,422,135
1019,2024-06-13,63.88,429.44,Sonol,207,102
1020,2024-06-14,56.40,389.29,Dor Alon,92,106
1021,2024-06-15,25.49,169.05,Ten,99,28
1022,2024-06-16,53.03,421.79,Sonol,5,346
1023,2024-06-17,33.69,220.05,Dor Alon,514,163
1024,2024-06-18,59.06,462.21,Dor Alon,149,461
1025,2024-06-19,68.06,503.80,Dor Alon,43,459
1026,2024-06-20,54.64,432.30,Delek,268,215
1027,2024-06-21,32.25,246.69,Delek,334,59
1028,2024-06-22,45.54,339.26,Sonol,246,346
1029,2024-06-23,40.73,297.56,Dor Alon,361,120
1030,2024-06-24,59.46,397.86,Paz,499,321
1031,2024-06-25,56.28,404.44,Paz,512,60
1032,2024-06-26,25.31,202.33,Paz,154,45
1033,2024-06-27,27.11,217.31,Sonol,442,283
1034,2024-06-28,38.93,267.07,Ten,154,226
1035,2024-06-29,47.40,347.60,Sonol,154,406
1036,2024-06-30,43.32,357.25,Ten,28,379
1037,2024-07-01,36.44,270.62,Paz,222,194
1038,2024-07-02,22.45,186.63,Dor Alon,325,106
1039,2024-07-03,35.15,245.07,Sonol,154,80
1040,2024-07-04,59.47,445.34,Sonol,3,359
1041,2024-07-05,46.15,314.01,Dor Alon,389,514
1042,2024-07-06,23.37,181.43,Paz,489,389
1043,2024-07-07,59.37,445.85,Ten,356,416
1044,2024-07-08,60.59,414.91,Paz,51,384
1045,2024-07-09,64.57,446.23,Dor Alon,32,329
1046,2024-07-10,55.18,453.23,Paz,173,102
1047,2024-07-11,58.14,488.27,Paz,385,166
1048,2024-07-12,41.35,307.41,Dor Alon,292,277
1049,2024-07-13,64.97,465.96,Ten,19,68
1050,2024-07-14,26.77,213.31,Delek,489,300
1051,2024-07-15,64.22,519.26,Dor Alon,120,270
1052,2024-07-16,51.72,344.62,Sonol,206,493
1053,2024-07-17,58.50,482.62,Delek,211,517
1054,2024-07-18,20.61,141.91,Sonol,99,191
1055,2024-07-19,53.09,368.08,Dor Alon,80,443
1056,2024-07-20,64.80,508.18,Sonol,229,141
1057,2024-07-21,62.48,422.80,Paz,429,258
1058,2024-07-22,36.61,257.81,Paz,238,18
