<<<<<<< HEAD
InsuranceID,InsuranceCompany,PolicyNumber,StartDate,EndDate,Cost,VehicleID
154,Phoenix,200154,2024-01-01,2025-01-01,5432,177
155,Harel,200155,2024-01-01,2025-01-01,5429,87
156,Harel,200156,2024-01-01,2025-01-01,5120,121
157,Harel,200157,2024-01-01,2025-01-01,5112,120
158,Migdal,200158,2024-01-01,2025-01-01,5182,145
159,Migdal,200159,2024-01-01,2025-01-01,5228,142
160,Migdal,200160,2024-01-01,2025-01-01,5233,191
161,Harel,200161,2024-01-01,2025-01-01,5450,178
162,Harel,200162,2024-01-01,2025-01-01,5301,296
163,Migdal,200163,2024-01-01,2025-01-01,4991,323
164,Phoenix,200164,2024-01-01,2025-01-01,5434,55
165,Harel,200165,2024-01-01,2025-01-01,4809,497
166,Migdal,200166,2024-01-01,2025-01-01,4999,394
167,Migdal,200167,2024-01-01,2025-01-01,5218,504
168,Harel,200168,2024-01-01,2025-01-01,5254,501
169,Harel,200169,2024-01-01,2025-01-01,4884,32
170,Phoenix,200170,2024-01-01,2025-01-01,5099,34
171,Harel,200171,2024-01-01,2025-01-01,5030,296
172,Clal,200172,2024-01-01,2025-01-01,5268,508
173,Phoenix,200173,2024-01-01,2025-01-01,5386,117
174,Clal,200174,2024-01-01,2025-01-01,5356,376
175,Migdal,200175,2024-01-01,2025-01-01,5251,224
176,Phoenix,200176,2024-01-01,2025-01-01,4904,254
177,Phoenix,200177,2024-01-01,2025-01-01,4833,461
178,Migdal,200178,2024-01-01,2025-01-01,5156,90
179,Harel,200179,2024-01-01,2025-01-01,4920,243
180,Migdal,200180,2024-01-01,2025-01-01,5402,360
181,Harel,200181,2024-01-01,2025-01-01,4969,143
182,Phoenix,200182,2024-01-01,2025-01-01,5011,61
183,Harel,200183,2024-01-01,2025-01-01,5345,288
184,Phoenix,200184,2024-01-01,2025-01-01,5131,300
185,Clal,200185,2024-01-01,2025-01-01,5386,274
186,Clal,200186,2024-01-01,2025-01-01,4938,422
187,Harel,200187,2024-01-01,2025-01-01,5083,130
188,Phoenix,200188,2024-01-01,2025-01-01,5055,150
189,Migdal,200189,2024-01-01,2025-01-01,5053,403
190,Migdal,200190,2024-01-01,2025-01-01,4945,276
191,Clal,200191,2024-01-01,2025-01-01,5184,463
192,Migdal,200192,2024-01-01,2025-01-01,5448,96
193,Phoenix,200193,2024-01-01,2025-01-01,5327,285
194,Phoenix,200194,2024-01-01,2025-01-01,5265,500
195,Clal,200195,2024-01-01,2025-01-01,5395,3
196,Clal,200196,2024-01-01,2025-01-01,5269,367
197,Harel,200197,2024-01-01,2025-01-01,5347,408
198,Migdal,200198,2024-01-01,2025-01-01,5239,217
199,Phoenix,200199,2024-01-01,2025-01-01,5074,331
200,Migdal,200200,2024-01-01,2025-01-01,5145,134
201,Clal,200201,2024-01-01,2025-01-01,5151,50
202,Clal,200202,2024-01-01,2025-01-01,4901,471
203,Migdal,200203,2024-01-01,2025-01-01,4927,162
204,Migdal,200204,2024-01-01,2025-01-01,5267,1
205,Phoenix,200205,2024-01-01,2025-01-01,5007,136
206,Clal,200206,2024-01-01,2025-01-01,4962,281
207,Phoenix,200207,2024-01-01,2025-01-01,5470,370
208,Harel,200208,2024-01-01,2025-01-01,4884,381
209,Phoenix,200209,2024-01-01,2025-01-01,4853,406
210,Clal,200210,2024-01-01,2025-01-01,5039,440
211,Harel,200211,2024-01-01,2025-01-01,4897,2
212,Harel,200212,2024-01-01,2025-01-01,5288,80
213,Migdal,200213,2024-01-01,2025-01-01,5407,232
214,Phoenix,200214,2024-01-01,2025-01-01,4809,9
215,Harel,200215,2024-01-01,2025-01-01,4923,433
216,Harel,200216,2024-01-01,2025-01-01,5289,73
217,Clal,200217,2024-01-01,2025-01-01,5192,92
218,Phoenix,200218,2024-01-01,2025-01-01,4905,321
219,Migdal,200219,2024-01-01,2025-01-01,5106,141
220,Clal,200220,2024-01-01,2025-01-01,4936,147
221,Harel,200221,2024-01-01,2025-01-01,5343,9
222,Harel,200222,2024-01-01,2025-01-01,5250,360
223,Migdal,200223,2024-01-01,2025-01-01,5443,156
224,Harel,200224,2024-01-01,2025-01-01,5430,454
225,Harel,200225,2024-01-01,2025-01-01,4888,103
226,Phoenix,200226,2024-01-01,2025-01-01,4926,394
227,Harel,200227,2024-01-01,2025-01-01,5239,323
228,Clal,200228,2024-01-01,2025-01-01,5053,284
229,Clal,200229,2024-01-01,2025-01-01,5054,292
230,Harel,200230,2024-01-01,2025-01-01,5474,309
231,Migdal,200231,2024-01-01,2025-01-01,5330,194
232,Harel,200232,2024-01-01,2025-01-01,5102,56
233,Clal,200233,2024-01-01,2025-01-01,5306,396
234,Clal,200234,2024-01-01,2025-01-01,5046,512
235,Phoenix,200235,2024-01-01,2025-01-01,5340,13
236,Migdal,200236,2024-01-01,2025-01-01,5124,136
237,Phoenix,200237,2024-01-01,2025-01-01,5382,431
238,Migdal,200238,2024-01-01,2025-01-01,5359,177
239,Clal,200239,2024-01-01,2025-01-01,4874,18
240,Harel,200240,2024-01-01,2025-01-01,4814,269
241,Migdal,200241,2024-01-01,2025-01-01,4840,62
242,Migdal,200242,2024-01-01,2025-01-01,5318,294
243,Clal,200243,2024-01-01,2025-01-01,5233,412
244,Phoenix,200244,2024-01-01,2025-01-01,5455,157
245,Clal,200245,2024-01-01,2025-01-01,4885,318
246,Harel,200246,2024-01-01,2025-01-01,5323,209
247,Migdal,200247,2024-01-01,2025-01-01,5349,335
248,Phoenix,200248,2024-01-01,2025-01-01,5400,68
249,Clal,200249,2024-01-01,2025-01-01,5247,245
250,Migdal,200250,2024-01-01,2025-01-01,5050,89
251,Clal,200251,2024-01-01,2025-01-01,4918,465
252,Clal,200252,2024-01-01,2025-01-01,5116,180
253,Clal,200253,2024-01-01,2025-01-01,4812,141
254,Phoenix,200254,2024-01-01,2025-01-01,4967,509
255,Harel,200255,2024-01-01,2025-01-01,5335,266
256,Phoenix,200256,2024-01-01,2025-01-01,5180,130
257,Phoenix,200257,2024-01-01,2025-01-01,4920,31
258,Clal,200258,2024-01-01,2025-01-01,5239,279
259,Migdal,200259,2024-01-01,2025-01-01,5069,79
260,Clal,200260,2024-01-01,2025-01-01,5266,369
261,Phoenix,200261,2024-01-01,2025-01-01,5311,171
262,Clal,200262,2024-01-01,2025-01-01,4961,262
263,Harel,200263,2024-01-01,2025-01-01,5387,119
264,Clal,200264,2024-01-01,2025-01-01,5321,3
265,Clal,200265,2024-01-01,2025-01-01,4812,251
266,Migdal,200266,2024-01-01,2025-01-01,5283,373
267,Clal,200267,2024-01-01,2025-01-01,4953,184
268,Harel,200268,2024-01-01,2025-01-01,5366,430
269,Migdal,200269,2024-01-01,2025-01-01,5129,255
270,Clal,200270,2024-01-01,2025-01-01,5127,278
271,Clal,200271,2024-01-01,2025-01-01,5385,382
272,Harel,200272,2024-01-01,2025-01-01,5314,54
273,Migdal,200273,2024-01-01,2025-01-01,5028,48
274,Phoenix,200274,2024-01-01,2025-01-01,4870,477
275,Clal,200275,2024-01-01,2025-01-01,5118,336
276,Clal,200276,2024-01-01,2025-01-01,5366,468
277,Phoenix,200277,2024-01-01,2025-01-01,5177,206
278,Harel,200278,2024-01-01,2025-01-01,5377,312
279,Migdal,200279,2024-01-01,2025-01-01,5275,378
280,Harel,200280,2024-01-01,2025-01-01,5000,252
281,Clal,200281,2024-01-01,2025-01-01,4806,420
282,Clal,200282,2024-01-01,2025-01-01,5038,355
283,Migdal,200283,2024-01-01,2025-01-01,5143,2
284,Harel,200284,2024-01-01,2025-01-01,5114,107
285,Migdal,200285,2024-01-01,2025-01-01,5342,244
286,Harel,200286,2024-01-01,2025-01-01,5303,62
287,Clal,200287,2024-01-01,2025-01-01,5086,96
288,Phoenix,200288,2024-01-01,2025-01-01,5037,423
289,Clal,200289,2024-01-01,2025-01-01,5269,87
290,Migdal,200290,2024-01-01,2025-01-01,5317,137
291,Migdal,200291,2024-01-01,2025-01-01,4876,64
292,Harel,200292,2024-01-01,2025-01-01,5478,134
293,Phoenix,200293,2024-01-01,2025-01-01,5098,268
294,Phoenix,200294,2024-01-01,2025-01-01,5202,335
295,Harel,200295,2024-01-01,2025-01-01,5263,279
296,Harel,200296,2024-01-01,2025-01-01,4876,208
297,Harel,200297,2024-01-01,2025-01-01,5398,112
298,Migdal,200298,2024-01-01,2025-01-01,4908,169
299,Migdal,200299,2024-01-01,2025-01-01,5277,322
300,Harel,200300,2024-01-01,2025-01-01,4923,367
301,Migdal,200301,2024-01-01,2025-01-01,5262,316
302,Clal,200302,2024-01-01,2025-01-01,5071,123
303,Clal,200303,2024-01-01,2025-01-01,4961,312
304,Harel,200304,2024-01-01,2025-01-01,5020,336
305,Phoenix,200305,2024-01-01,2025-01-01,4893,255
306,Phoenix,200306,2024-01-01,2025-01-01,5205,51
307,Clal,200307,2024-01-01,2025-01-01,5066,179
308,Harel,200308,2024-01-01,2025-01-01,5214,464
309,Clal,200309,2024-01-01,2025-01-01,4896,474
310,Clal,200310,2024-01-01,2025-01-01,4943,125
311,Harel,200311,2024-01-01,2025-01-01,4863,228
312,Phoenix,200312,2024-01-01,2025-01-01,5002,411
313,Phoenix,200313,2024-01-01,2025-01-01,5445,87
314,Clal,200314,2024-01-01,2025-01-01,4876,23
315,Harel,200315,2024-01-01,2025-01-01,5002,455
316,Clal,200316,2024-01-01,2025-01-01,4894,340
317,Clal,200317,2024-01-01,2025-01-01,4843,473
318,Migdal,200318,2024-01-01,2025-01-01,4972,444
319,Migdal,200319,2024-01-01,2025-01-01,5308,31
320,Harel,200320,2024-01-01,2025-01-01,5499,437
321,Harel,200321,2024-01-01,2025-01-01,5162,220
322,Migdal,200322,2024-01-01,2025-01-01,5081,287
323,Harel,200323,2024-01-01,2025-01-01,4952,36
324,Migdal,200324,2024-01-01,2025-01-01,5462,303
325,Clal,200325,2024-01-01,2025-01-01,5221,491
326,Migdal,200326,2024-01-01,2025-01-01,4889,287
327,Harel,200327,2024-01-01,2025-01-01,4940,430
328,Clal,200328,2024-01-01,2025-01-01,5458,256
329,Migdal,200329,2024-01-01,2025-01-01,5191,368
330,Phoenix,200330,2024-01-01,2025-01-01,5357,497
331,Phoenix,200331,2024-01-01,2025-01-01,5379,515
332,Harel,200332,2024-01-01,2025-01-01,5197,277
333,Harel,200333,2024-01-01,2025-01-01,4826,327
334,Clal,200334,2024-01-01,2025-01-01,4830,288
335,Harel,200335,2024-01-01,2025-01-01,5283,367
336,Harel,200336,2024-01-01,2025-01-01,4963,103
337,Phoenix,200337,2024-01-01,2025-01-01,5472,247
338,Harel,200338,2024-01-01,2025-01-01,5346,58
339,Phoenix,200339,2024-01-01,2025-01-01,5389,398
340,Harel,200340,2024-01-01,2025-01-01,4977,181
341,Phoenix,200341,2024-01-01,2025-01-01,5406,326
342,Phoenix,200342,2024-01-01,2025-01-01,5405,29
343,Harel,200343,2024-01-01,2025-01-01,5381,146
344,Harel,200344,2024-01-01,2025-01-01,5304,317
345,Clal,200345,2024-01-01,2025-01-01,5302,39
346,Harel,200346,2024-01-01,2025-01-01,4857,239
347,Clal,200347,2024-01-01,2025-01-01,4820,490
348,Harel,200348,2024-01-01,2025-01-01,5139,207
349,Phoenix,200349,2024-01-01,2025-01-01,5148,182
350,Harel,200350,2024-01-01,2025-01-01,4860,23
351,Clal,200351,2024-01-01,2025-01-01,5400,146
352,Clal,200352,2024-01-01,2025-01-01,5338,374
353,Clal,200353,2024-01-01,2025-01-01,5182,406
354,Phoenix,200354,2024-01-01,2025-01-01,5144,310
355,Migdal,200355,2024-01-01,2025-01-01,4939,162
356,Phoenix,200356,2024-01-01,2025-01-01,5454,499
357,Harel,200357,2024-01-01,2025-01-01,4978,366
358,Migdal,200358,2024-01-01,2025-01-01,5481,180
359,Harel,200359,2024-01-01,2025-01-01,5114,302
360,Migdal,200360,2024-01-01,2025-01-01,4981,2
361,Harel,200361,2024-01-01,2025-01-01,5381,34
362,Harel,200362,2024-01-01,2025-01-01,5416,326
363,Migdal,200363,2024-01-01,2025-01-01,5454,107
364,Clal,200364,2024-01-01,2025-01-01,4944,340
365,Phoenix,200365,2024-01-01,2025-01-01,5043,356
366,Phoenix,200366,2024-01-01,2025-01-01,4971,91
367,Phoenix,200367,2024-01-01,2025-01-01,5257,12
368,Clal,200368,2024-01-01,2025-01-01,5014,256
369,Clal,200369,2024-01-01,2025-01-01,5158,263
370,Migdal,200370,2024-01-01,2025-01-01,4801,50
371,Harel,200371,2024-01-01,2025-01-01,5248,430
372,Migdal,200372,2024-01-01,2025-01-01,5223,505
373,Clal,200373,2024-01-01,2025-01-01,5159,385
374,Harel,200374,2024-01-01,2025-01-01,5290,231
375,Clal,200375,2024-01-01,2025-01-01,5262,76
376,Phoenix,200376,2024-01-01,2025-01-01,5101,21
377,Clal,200377,2024-01-01,2025-01-01,5067,108
378,Migdal,200378,2024-01-01,2025-01-01,5150,175
379,Clal,200379,2024-01-01,2025-01-01,4964,77
380,Clal,200380,2024-01-01,2025-01-01,5146,495
381,Migdal,200381,2024-01-01,2025-01-01,5241,169
382,Clal,200382,2024-01-01,2025-01-01,4960,55
383,Harel,200383,2024-01-01,2025-01-01,5139,211
384,Phoenix,200384,2024-01-01,2025-01-01,5219,272
385,Clal,200385,2024-01-01,2025-01-01,5104,244
386,Migdal,200386,2024-01-01,2025-01-01,4850,403
387,Phoenix,200387,2024-01-01,2025-01-01,4957,56
388,Clal,200388,2024-01-01,2025-01-01,4803,438
389,Harel,200389,2024-01-01,2025-01-01,5101,492
390,Harel,200390,2024-01-01,2025-01-01,4899,27
391,Clal,200391,2024-01-01,2025-01-01,4974,299
392,Phoenix,200392,2024-01-01,2025-01-01,5284,119
393,Migdal,200393,2024-01-01,2025-01-01,5207,483
394,Clal,200394,2024-01-01,2025-01-01,5476,272
395,Harel,200395,2024-01-01,2025-01-01,5457,397
396,Phoenix,200396,2024-01-01,2025-01-01,5179,391
397,Clal,200397,2024-01-01,2025-01-01,4991,457
398,Migdal,200398,2024-01-01,2025-01-01,5069,451
399,Phoenix,200399,2024-01-01,2025-01-01,5069,232
400,Harel,200400,2024-01-01,2025-01-01,5377,64
401,Clal,200401,2024-01-01,2025-01-01,5483,100
402,Migdal,200402,2024-01-01,2025-01-01,5484,353
403,Clal,200403,2024-01-01,2025-01-01,5403,233
404,Migdal,200404,2024-01-01,2025-01-01,5196,429
405,Migdal,200405,2024-01-01,2025-01-01,5386,242
406,Migdal,200406,2024-01-01,2025-01-01,5106,81
407,Harel,200407,2024-01-01,2025-01-01,4835,515
408,Harel,200408,2024-01-01,2025-01-01,4923,460
409,Harel,200409,2024-01-01,2025-01-01,4971,217
410,Migdal,200410,2024-01-01,2025-01-01,4929,44
411,Harel,200411,2024-01-01,2025-01-01,4880,446
412,Phoenix,200412,2024-01-01,2025-01-01,5442,152
413,Clal,200413,2024-01-01,2025-01-01,5127,69
414,Phoenix,200414,2024-01-01,2025-01-01,5197,407
415,Clal,200415,2024-01-01,2025-01-01,5082,470
416,Clal,200416,2024-01-01,2025-01-01,5438,430
417,Harel,200417,2024-01-01,2025-01-01,5224,154
418,Clal,200418,2024-01-01,2025-01-01,5380,103
419,Phoenix,200419,2024-01-01,2025-01-01,5376,104
420,Migdal,200420,2024-01-01,2025-01-01,5348,353
421,Migdal,200421,2024-01-01,2025-01-01,5070,393
422,Clal,200422,2024-01-01,2025-01-01,5385,485
423,Migdal,200423,2024-01-01,2025-01-01,4976,283
424,Clal,200424,2024-01-01,2025-01-01,4947,412
425,Harel,200425,2024-01-01,2025-01-01,5205,340
426,Phoenix,200426,2024-01-01,2025-01-01,4850,487
427,Phoenix,200427,2024-01-01,2025-01-01,5181,21
428,Phoenix,200428,2024-01-01,2025-01-01,5110,319
429,Harel,200429,2024-01-01,2025-01-01,5303,101
430,Migdal,200430,2024-01-01,2025-01-01,4937,308
431,Migdal,200431,2024-01-01,2025-01-01,5128,276
432,Harel,200432,2024-01-01,2025-01-01,5419,92
433,Migdal,200433,2024-01-01,2025-01-01,5252,217
434,Clal,200434,2024-01-01,2025-01-01,5296,383
435,Clal,200435,2024-01-01,2025-01-01,5327,163
436,Migdal,200436,2024-01-01,2025-01-01,5118,519
437,Harel,200437,2024-01-01,2025-01-01,4938,30
438,Clal,200438,2024-01-01,2025-01-01,4997,206
439,Migdal,200439,2024-01-01,2025-01-01,5055,34
440,Harel,200440,2024-01-01,2025-01-01,4851,370
441,Migdal,200441,2024-01-01,2025-01-01,5080,378
442,Clal,200442,2024-01-01,2025-01-01,5317,407
443,Harel,200443,2024-01-01,2025-01-01,5497,32
444,Migdal,200444,2024-01-01,2025-01-01,5181,501
445,Phoenix,200445,2024-01-01,2025-01-01,4981,486
446,Phoenix,200446,2024-01-01,2025-01-01,5152,168
447,Clal,200447,2024-01-01,2025-01-01,4892,292
448,Harel,200448,2024-01-01,2025-01-01,5195,51
449,Harel,200449,2024-01-01,2025-01-01,5385,220
450,Harel,200450,2024-01-01,2025-01-01,5462,231
451,Clal,200451,2024-01-01,2025-01-01,5075,420
452,Migdal,200452,2024-01-01,2025-01-01,5498,10
453,Clal,200453,2024-01-01,2025-01-01,4935,178
454,Phoenix,200454,2024-01-01,2025-01-01,5029,259
455,Migdal,200455,2024-01-01,2025-01-01,5458,282
456,Migdal,200456,2024-01-01,2025-01-01,5185,358
457,Migdal,200457,2024-01-01,2025-01-01,5058,224
458,Clal,200458,2024-01-01,2025-01-01,5109,407
459,Phoenix,200459,2024-01-01,2025-01-01,4807,384
460,Migdal,200460,2024-01-01,2025-01-01,5105,111
461,Phoenix,200461,2024-01-01,2025-01-01,4865,345
462,Phoenix,200462,2024-01-01,2025-01-01,5455,333
463,Harel,200463,2024-01-01,2025-01-01,5067,306
464,Clal,200464,2024-01-01,2025-01-01,4953,247
465,Phoenix,200465,2024-01-01,2025-01-01,5414,414
466,Clal,200466,2024-01-01,2025-01-01,5497,144
467,Phoenix,200467,2024-01-01,2025-01-01,5471,510
468,Migdal,200468,2024-01-01,2025-01-01,5065,429
469,Harel,200469,2024-01-01,2025-01-01,5197,37
470,Migdal,200470,2024-01-01,2025-01-01,5151,228
471,Phoenix,200471,2024-01-01,2025-01-01,5487,368
472,Phoenix,200472,2024-01-01,2025-01-01,4974,186
473,Harel,200473,2024-01-01,2025-01-01,4899,483
474,Phoenix,200474,2024-01-01,2025-01-01,5064,188
475,Harel,200475,2024-01-01,2025-01-01,5470,92
476,Phoenix,200476,2024-01-01,2025-01-01,5163,229
477,Phoenix,200477,2024-01-01,2025-01-01,5230,340
478,Migdal,200478,2024-01-01,2025-01-01,5066,302
479,Clal,200479,2024-01-01,2025-01-01,4920,482
480,Migdal,200480,2024-01-01,2025-01-01,5449,73
481,Clal,200481,2024-01-01,2025-01-01,4999,513
482,Phoenix,200482,2024-01-01,2025-01-01,5497,391
483,Harel,200483,2024-01-01,2025-01-01,5223,56
484,Phoenix,200484,2024-01-01,2025-01-01,4940,206
485,Harel,200485,2024-01-01,2025-01-01,5219,469
486,Clal,200486,2024-01-01,2025-01-01,5123,185
487,Harel,200487,2024-01-01,2025-01-01,5299,341
488,Clal,200488,2024-01-01,2025-01-01,5120,60
489,Harel,200489,2024-01-01,2025-01-01,5262,281
490,Migdal,200490,2024-01-01,2025-01-01,4972,163
491,Migdal,200491,2024-01-01,2025-01-01,4890,133
492,Migdal,200492,2024-01-01,2025-01-01,5448,440
493,Migdal,200493,2024-01-01,2025-01-01,5239,489
494,Harel,200494,2024-01-01,2025-01-01,4804,39
495,Phoenix,200495,2024-01-01,2025-01-01,5182,15
496,Clal,200496,2024-01-01,2025-01-01,5343,196
497,Harel,200497,2024-01-01,2025-01-01,5492,5
498,Phoenix,200498,2024-01-01,2025-01-01,5031,353
499,Migdal,200499,2024-01-01,2025-01-01,4932,106
500,Harel,200500,2024-01-01,2025-01-01,5315,314
501,Phoenix,200501,2024-01-01,2025-01-01,4866,47
502,Phoenix,200502,2024-01-01,2025-01-01,5097,467
503,Phoenix,200503,2024-01-01,2025-01-01,5244,138
